"severity","message","location","rule"
"info","Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check","lib\screens\premium_screen.dart:572:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check","lib\screens\premium_screen.dart:587:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\register_screen.dart:294:52","use_build_context_synchronously"
"info","Unnecessary braces in a string interpolation","lib\screens\register_screen.dart:379:59","unnecessary_brace_in_string_interps"
"info","Unnecessary braces in a string interpolation","lib\screens\register_screen.dart:379:80","unnecessary_brace_in_string_interps"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:315:52","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:319:49","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:341:52","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:345:49","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:366:52","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:370:49","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:488:47","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:513:53","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:568:47","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:610:55","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:649:53","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:677:47","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\reminder_list_screen.dart:690:51","use_build_context_synchronously"
"info","Statements in an if should be enclosed in a block","lib\screens\reminder_list_screen.dart:931:31","curly_braces_in_flow_control_structures"
"warning","The value of the local variable 'canPop' isn't used","lib\screens\settings_screen.dart:37:15","unused_local_variable"
"warning","The value of the local variable 'isRTL' isn't used","lib\screens\settings_screen.dart:39:15","unused_local_variable"
